Bon,Moyen,Mauvais
Tu es le croissant le plus doré de la boulangerie !,"Ce n’est pas la tarte aux fraises de grand-mère, mais ça se mange.",Tu n’es pas la pomme la plus juteuse du verger.
Tu es la cerise la plus rouge sur le gâteau !,"Pas le pain le plus croustillant, mais il dépanne bien au petit-déj !",Tu n’es pas le grain de café le plus corsé du paquet.
Tu es le chocolat le plus fondant de la tablette !,"On va dire que c’est du fast-food : ça nourrit, mais ce n’est pas gastronomique.",Tu n’es pas le cookie le plus croquant de la boîte.
Tu es le miel qui fait briller la ruche entière !,"Ce n’est pas du caviar, mais c’est mieux que des chips molles.",Tu n’es pas le fromage le plus affiné du plateau.
Tu es le macaron qui ferait rougir les pâtissiers,"Tu n’as pas servi un grand cru, mais ça passe avec des glaçons.",Tu n’es pas la cerise la plus rouge sur le gâteau.
Tu es l’ampoule qui éclaire toute la pièce !,"Ce n’est pas le sommet de l’Everest, mais tu as grimpé une belle colline.",Tu n’es pas la gaufre la mieux dorée du brunch.
Tu es la clé qui ouvre toutes les portes !,"Tu n’es pas l’étoile polaire, mais on te voit quand même dans le ciel.",Tu n’es pas l’olive la plus verte du bocal.
Tu es le moteur qui fait avancer la voiture !,"Ce n’est pas une pluie torrentielle, mais ça mouille un peu.",Tu n’es pas le pancake le plus moelleux de la pile.
Tu es la fusée la plus rapide de la station spatiale !,"Pas la fleur la plus éclatante du jardin, mais elle sent bon quand même.",Tu n’es pas la fraise la plus sucrée de la tarte.
Tu es le stylo qui écrit toutes les belles histoires !,"Ce n’est pas un arc-en-ciel, mais au moins, il n’a pas plu.",Tu n’es pas la nouille la mieux cuite de la casserole.
Tu es l’étoile la plus brillante du ciel !,"Tu n’es pas une Lamborghini, mais tu roules encore.",Tu n’es pas l’ampoule la plus brillante du lustre.
Tu es le soleil qui réchauffe toute la journée !,"Pas un smartphone dernier cri, mais ça envoie encore des SMS.",Tu n’es pas la roue la plus gonflée du vélo.
Tu es la rivière qui fait grandir la forêt !,"Ce n’est pas un diamant, mais c’est une perle de pacotille sympathique.",Tu n’es pas la clé la mieux taillée du trousseau.
Tu es le vent qui pousse les voiles les plus grandes !,"Pas une épée légendaire, mais elle tranche le beurre.",Tu n’es pas la vis la mieux serrée de la boîte à outils.
Tu es la fleur la plus éclatante du jardin !,"Tu n’es pas le couteau suisse, mais au moins, tu as un tournevis.",Tu n’es pas le couteau le plus aiguisé du tiroir.
Tu es le guépard qui gagne toutes les courses !,"Pas le guépard de la savane, mais au moins, tu avances.",Tu n’es pas le lion le plus rugissant de la savane.
Tu es l’aigle qui vole toujours plus haut !,"Tu n’as pas rugi comme un lion, mais tu as miaulé avec conviction.",Tu n’es pas le pingouin le plus habile sur la banquise.
Tu es la fourmi la plus travailleuse de la colonie !,"Ce n’est pas le vol de l’aigle, mais c’est un bon saut de moineau.",Tu n’es pas l’aigle qui vole le plus haut du ciel.
Tu es le dauphin le plus agile de l’océan !,"Pas le cheval de course, mais le poney a fait le tour de la piste.",Tu n’es pas l’abeille la plus occupée de la ruche.
Tu es le lion qui rugit plus fort que tous les autres !,"Ce n’est pas un dauphin olympique, mais tu as évité la noyade.",Tu n’es pas la girafe qui voit le plus loin.
Tu es la vague qui fait surfer tout le monde !,"Ce n’est pas la médaille d’or, mais au moins, c’est pas le banc de touche.",Tu n’es pas le papillon le plus coloré du jardin.
Tu es la mélodie qui reste dans toutes les têtes !,"Tu n’as pas battu le record du monde, mais le chrono a fonctionné.",Tu n’es pas le poisson le plus rapide de l’étang.
Tu es le dé qui tombe toujours sur un six !,"Ce n’est pas un podium, mais tu as une belle vue sur ceux qui y sont.",Tu n’es pas le kangourou qui saute le plus haut.
Tu es le puzzle qui s’assemble parfaitement à chaque fois !,"Ce n’est pas un strike, mais tu as renversé quelques quilles.",Tu n’es pas la tortue la plus rapide de la plage.
Tu es la lumière au bout du tunnel pour ton équipe !,"Ce n’est pas le jackpot, mais tu as fait un peu sonner la caisse.",Tu n’es pas le chien le plus obéissant du parc.
Tu es le jackpot qui fait briller les machines à sous !,"Tu n’es pas l’inventeur de la roue, mais tu as pédalé.",Tu n’es pas la pièce la plus solide du puzzle.
Tu es le joker qui sauve toujours la partie !,"Ce n’est pas un chef-d’œuvre, mais ça pourrait être vendu dans un vide-grenier.",Tu n’es pas le feu d’artifice qui éclaire le plus fort.
Tu es le maître des clés dans ce labyrinthe !,"Pas la lune, mais une jolie pierre au bord du chemin.",Tu n’es pas le sommet le plus haut de la montagne.
Tu es le roi (ou la reine) de l’échiquier !,"Tu n’as pas cassé Internet, mais tu l’as sûrement un peu ralenti.",Tu n’es pas la page la plus intéressante du livre.
Tu es la pièce manquante qui fait gagner tout le monde !,"Ce n’est pas une standing ovation, mais quelqu’un a peut-être applaudi d’un doigt.",Tu n’es pas la vague la plus forte de l’océan.
Tu es la fusée qui décroche toutes les étoiles !,,Tu n’es pas la bulle la plus pétillante du soda.
Tu es le Wi-Fi qui connecte tout le monde à la victoire !,,Tu n’es pas le Wi-Fi le plus rapide du quartier.
Tu es la licorne magique qui illumine tout le royaume !,,Tu n’es pas la fusée la plus rapide de la NASA.
Tu es la planète autour de laquelle tout tourne !,,Tu n’es pas l’arc-en-ciel avec toutes les couleurs.
Tu es le ninja qui gagne toutes les batailles en silence !,,Tu n’es pas la chaussette la mieux assortie du tiroir.
,,Tu n’es pas le marteau le plus solide de l’établi.
,,Tu n’es pas le stylo le plus chargé de l’étui.
,,Tu n’es pas le pixel le plus net de l’écran.
,,Tu n’es pas le chargeur le plus rapide de la prise.
,,Tu n’es pas la boussole la plus fiable de la forêt.
,,Tu n’es pas la feuille la plus verte de l’arbre.
,,Tu n’es pas le soleil le plus chaud de la galaxie.
,,Tu n’es pas l’étoile qui brille le plus dans le ciel.
,,Tu n’es pas la rivière la plus limpide du vallon.
,,Tu n’es pas la montagne la plus haute de la chaîne.
,,Tu n’es pas le vent le plus frais du désert.
,,Tu n’es pas la balle la plus rebondissante de la boîte.
,,Tu n’es pas la colle la plus forte du magasin.
,,Tu n’es pas la pièce la mieux huilée de la machine.
,,Tu n’es pas le GPS le plus précis de la voiture.
,,Tu n’es pas la carte la plus forte du deck.
,,Tu n’es pas le dé qui tombe sur un 6.
,,Tu n’es pas la pièce la mieux placée sur l’échiquier.
,,Tu n’es pas la chanson la plus cool de la playlist.
,,Tu n’es pas le puzzle le plus complet du monde.
,,Tu n’es pas la fusée qui atteint la Lune sans escale.
,,Tu n’es pas la licorne la plus magique de la forêt.
,,Tu n’es pas le wifi le plus stable du café.
,,Tu n’es pas le nuage le plus blanc du ciel.
,,Tu n’es pas la blague la plus drôle de la soirée.
,,Tu n'es pas la tortue la plus ninja des égouts.
